,a_index,create_time,tag,title,url
0,133.0,01/01/2013 19:02:21,เที่ยวไทย,สวัสดีปีใหม่ครับ,http://pantip.com/topic/30000133.html
0,134.0,01/01/2013 19:02:27,ทำผม,(( ปรึกษา )) จะทำสีผมครั้งแรก,http://pantip.com/topic/30000134.html
0,135.0,01/01/2013 19:02:36,"กล้องดิจิตอล, กล้อง Panasonic",ตั้งกระทู้เป็นครั้งแรก สำหรับ Pantip เวอร์ชั่นใหม่,http://pantip.com/topic/30000135.html
0,136.0,01/01/2013 19:03:15,,[clip] ฮั่น-แกรนด์ นอกรอบ ... รายการทีวีรายการแรกของปี 2556,http://pantip.com/topic/30000136.html
0,137.0,01/01/2013 19:03:23,ต้นไม้,^^  สวัสดีปีใหม่  ฮาโหลๆ เทส! ^^,http://pantip.com/topic/30000137.html
0,138.0,01/01/2013 19:03:31,การเงิน,คุณ K8888 K web card ใช้เวลากี่วัน ตั้งแต่เริ่มเปิดบัญชีครับ,http://pantip.com/topic/30000138.html
0,139.0,01/01/2013 19:03:47,กล้อง Canon,สวัสดีปีใหม่ครับ,http://pantip.com/topic/30000139.html
0,140.0,01/01/2013 19:04:06,"วิธีการใช้งานพันทิป, ข้อเสนอแนะถึงพันทิป, กิจกรรมพันทิป",พันทิปใหม่ ปุ่มกดกระทู้เข้าคลังฯอยู่ตรงไหน,http://pantip.com/topic/30000140.html
0,141.0,01/01/2013 19:27:27,กล้อง Nikon,ลองห้องใหม่ด้วยนางแบบ,http://pantip.com/topic/30000141.html
0,142.0,01/01/2013 19:04:47,การเมือง,เจิม ของใหม่ เจิม ของใหม่ ! มาใหม่ มาเจิม,http://pantip.com/topic/30000142.html
0,143.0,01/01/2013 19:04:49,ฟุตบอลต่างประเทศ,"[ทดสอบระบบ] สรุปครึ่งฤดูกาลฟุตบอลลาลีกา, บุนเดสลีกา, ลีกเอิง และพรีเมียร์ลีก",http://pantip.com/topic/30000143.html
0,144.0,01/01/2013 19:04:49,แฟชั่น,ขายจุกปิดกันฝุ่น อุปกรณ์ทำจุกปิดกันฝุ่นทุกชนิด,http://pantip.com/topic/30000144.html
0,145.0,01/01/2013 19:04:51,กล้องวิดีโอ,กล้อง vdo handycam Sony HD ระดับราคาสองหมื่น,http://pantip.com/topic/30000145.html
0,146.0,01/01/2013 19:04:51,"นักแสดงเกาหลี, ซีรีย์เกาหลี, นักแสดงชาย, นักแสดงหญิง, นักแสดง",\\\\\ บ้านใหม่เสร็จแล้ว วู๊ฮู๊!! ชวนเพื่อนๆอุ้มเด็กๆในสังกัดเข้าบ้านกันเถ๊อะ **No one left behind!!!////,http://pantip.com/topic/30000146.html
0,147.0,01/01/2013 19:05:07,,สวัสดีปีใหม่ รูปแบบกระทู้ใหม่ .... ปีนี้ อยากบอกอะไรกับทีมที่ท่านเชียร์ครับ,http://pantip.com/topic/30000147.html
0,148.0,01/01/2013 19:05:08,ของหวาน,ช่วยแนะนำ้ร้านขายผลไม้อบแห้ง แถวเยาวราชด้วยค่ะ,http://pantip.com/topic/30000148.html
0,149.0,01/01/2013 19:05:20,"อาวุธยุทโธปกรณ์, วิทยาศาสตร์, วิศวกรรมศาสตร์, ฟิสิกส์",ขอถามเกี่ยวกับ ปรากฏการณ์ Shockwave หน่อยครับ,http://pantip.com/topic/30000149.html
